"SEX","HA","YEAR","ASR","ASR_Model"
"Females","Fraser",1986,47.67,47.25
"Females","Fraser",1987,48.74,49.14
"Females","Fraser",1988,54.96,51.12
"Females","Fraser",1989,50.04,53.17
"Females","Fraser",1990,51.31,55.31
"Females","Fraser",1991,59.15,57.53
"Females","Fraser",1992,60.42,59.84
"Females","Fraser",1993,64.34,59.75
"Females","Fraser",1994,56.34,59.66
"Females","Fraser",1995,58.34,59.57
"Females","Fraser",1996,66.31,59.48
"Females","Fraser",1997,55.2,59.38
"Females","Fraser",1998,56.07,59.29
"Females","Fraser",1999,51.06,59.2
"Females","Fraser",2000,56.91,59.11
"Females","Fraser",2001,59.23,59.02
"Females","Fraser",2002,61.11,58.93
"Females","Fraser",2003,59.08,58.84
"Females","Fraser",2004,61.16,58.75
"Females","Fraser",2005,61.46,58.66
"Females","Fraser",2006,57.29,58.57
"Females","Fraser",2007,64.95,58.48
"Females","Fraser",2008,56.48,58.39
"Females","Fraser",2009,62.47,58.3
"Females","Fraser",2010,55.67,58.21
"Females","Fraser",2011,55.67,58.12
"Females","Fraser",2012,58.42,58.03
"Females","Fraser",2013,54.28,57.95
"Females","Fraser",2014,61.25,57.86
"Females","Fraser",2015,60.74,57.77
"Females","Fraser",2016,56.82,57.68
"Females","Fraser",2017,57.38,57.59
"Females","Fraser",2018,54.3,57.5
"Males","Fraser",1986,91.14,108.93
"Males","Fraser",1987,105.59,106.8
"Males","Fraser",1988,105.79,104.71
"Males","Fraser",1989,94.26,102.66
"Males","Fraser",1990,111.72,100.65
"Males","Fraser",1991,101.55,98.68
"Males","Fraser",1992,98.21,96.74
"Males","Fraser",1993,92.45,94.85
"Males","Fraser",1994,89.95,92.99
"Males","Fraser",1995,93.34,91.17
"Males","Fraser",1996,95.98,89.39
"Males","Fraser",1997,89.38,87.64
"Males","Fraser",1998,92.48,85.92
"Males","Fraser",1999,88.44,84.24
"Males","Fraser",2000,73.65,82.59
"Males","Fraser",2001,77.81,80.97
"Males","Fraser",2002,74.96,79.39
"Males","Fraser",2003,81.52,77.83
"Males","Fraser",2004,77.56,76.31
