"year","inc_counts","mort_counts","pop","ASIR","ASIR_LCI","ASIR_UCI","ASMR","ASMR_LCI","ASMR_UCI"
1970,149,59,1056101,18.7102720329653,15.7977990739206,22.1230815099789,7.74940812579402,5.88194935201973,10.14547027679
1971,155,68,1090251,19.0826691999922,16.1675492398717,22.4622150474344,8.20571658732412,6.35016331106631,10.5361905803953
1972,137,66,1124400,15.4489050250806,12.9344481490389,18.3886210305106,8.06483482253326,6.22330882847657,10.3550368316583
1973,137,55,1158547,15.278383877781,12.7968350359286,18.1617409744139,6.67536523321292,5.01809649404035,8.76012478894924
1974,150,51,1192697,16.0225850669967,13.5316230094229,18.8892229293968,5.56322719714514,4.1317992058827,7.38465667801426
1975,187,61,1226846,18.51642316069,15.8975763192333,21.4857178725196,6.67630446712362,5.09822634567562,8.62627615732511
1976,200,61,1260996,19.6212098009615,16.9453359462404,22.6320803018286,6.55521154321804,5.00656995366261,8.4591046078847
1977,184,53,1291190,16.9842613524675,14.5626009883022,19.7248479115574,5.21198597259951,3.88233063175934,6.87889137334092
1978,181,71,1321387,15.6942124473602,13.4257731238884,18.2684954252598,6.90133196041328,5.37525327120018,8.75194056732114
1979,181,42,1351578,15.3763930460818,13.1594617758329,17.8936790404113,3.98631200300616,2.86346446196687,5.43299803843604
1980,174,44,1381775,14.5633353006522,12.4139376029837,17.0118319830102,3.93744513095986,2.84788211382502,5.34178928146981
1981,159,45,1411969,13.0748474153591,11.0550025095227,15.3917714746637,3.77234600926998,2.72541158917794,5.1280704092138
1982,131,62,1431345,10.4093289082218,8.65472204141894,12.4518537995037,5.09268697838505,3.88576988904442,6.59472777246559
1983,158,41,1450725,11.9347908120994,10.0944539748945,14.0536372217632,3.24865115443057,2.31063736960002,4.4824698039598
1984,120,38,1470098,9.26704042386543,7.62554618412564,11.1939578236639,2.98376616349628,2.09088122934274,4.17216264524749
1985,141,45,1489478,10.1290819699084,8.47827859685823,12.0519806975092,3.42231483247514,2.47713965935132,4.65545258891961
1986,131,38,1508568,9.62720821452362,7.99492517272254,11.5360448575554,2.67040273027558,1.87095554842043,3.75141780059048
1987,120,32,1531737,8.33817580013972,6.8632911513881,10.0818334072147,2.49312339775906,1.68107524986873,3.60169760597442
1988,140,46,1565788,9.52921492336206,7.96531714119155,11.3556897119185,3.11201900378837,2.2538527110244,4.24229861490464
1989,144,46,1606997,9.55358036199527,8.00139123423853,11.3616175942915,3.14702803492902,2.28516911720316,4.27536220633267
1990,160,43,1654259,10.1850685798373,8.60964374979236,12.0062028338967,2.66007011886131,1.90845092605664,3.663022309697
1991,142,44,1692156,8.74270077105125,7.31470797680372,10.406200826484,2.79674240480208,2.00842994486222,3.83313699484501
1992,158,37,1741163,9.36241073412144,7.91310641928901,11.0352667831334,2.2262102707861,1.54757890464795,3.14153067679904
1993,160,51,1790843,9.6030086829165,8.11481102105325,11.3142636077891,3.255662379988,2.39896849079477,4.34771861750578
1994,175,51,1843834,9.61324608486284,8.19788948904219,11.2351333850062,3.01646925266293,2.22113269510354,4.0342356793757
1995,187,57,1893063,10.1816828538478,8.73182902273148,11.8323621574038,3.27022711046144,2.45517629616742,4.29786628857461
1996,163,46,1944984,8.65320919310651,7.33998740488372,10.1603657226394,2.50733152458815,1.8149256565685,3.40476586976583
1997,152,54,1983109,7.66956259141391,6.46956912117624,9.0547598322783,2.88653119906858,2.14967886002984,3.82019060468023
1998,195,37,2002595,9.73654990801249,8.39087234292087,11.2630865247057,1.82502720003616,1.2742387672974,2.56599103705481
1999,180,47,2018796,9.16115884197845,7.84499067598825,10.6584040161202,2.52970830707162,1.84255749176712,3.41104936533603
2000,137,50,2033853,6.73281677256845,5.62966449420319,8.01324307244839,2.5205427194552,1.85805935273537,3.36793032765695
2001,150,44,2053501,7.19852397146005,6.07691905267771,8.49054582909056,2.12906505356891,1.53995146984767,2.89571390732088
2002,175,44,2067075,8.224205731362,7.03606293065975,9.57661780771664,2.08194825219586,1.50530093505554,2.83047550671603
2003,153,53,2079789,7.28038412903478,6.16243397475334,8.55949146941092,2.52626705335957,1.8863550330951,3.33219994811866
2004,150,48,2096581,7.0161280480346,5.92996343016935,8.25767101948928,2.25867594634729,1.66027051499197,3.01776616939676
2005,159,44,2116912,7.33921654784909,6.2360137047428,8.59312912957134,1.9700566018453,1.42798482283061,2.66549191838528
2006,150,41,2140345,6.77397514062525,5.728221571615,7.96701939628324,1.83534191537303,1.31402232667175,2.50846105118257
2007,164,49,2163405,7.34034012788061,6.25649354462101,8.56912715845024,2.20568596256042,1.6296100479129,2.93147253477188
2008,171,41,2190629,7.55028842240944,6.45855325390313,8.78427879327998,1.78682365629819,1.28012474985924,2.44021230268321
2009,183,33,2219603,8.02269100998904,6.90106068747537,9.28454173888915,1.39055277802466,0.95531454974954,1.96992102905506
2010,191,49,2246226,8.26929409968495,7.13700138213357,9.53983577497109,2.06941024830366,1.52977964226737,2.74998271377288
2011,188,46,2262383,8.10095065874281,6.98335057624851,9.35618270455266,1.86750345588882,1.36479618059784,2.5088419669909
2012,169,48,2286978,7.10961597080718,6.07564954561037,8.27986415013177,1.92851759670946,1.41989993016561,2.57470993159671
2013,180,48,2308860,7.57231618654288,6.50282508145364,8.77820409110981,1.92721501223459,1.41834860253096,2.5739052079806
2014,190,52,2338097,7.80312266699759,6.72617854509937,9.01492676234932,2.00977841522874,1.49691156295429,2.65792937439536
2015,183,47,2363880,7.47985332238498,6.42810945877466,8.66570007827159,1.78497647531714,1.30759208648842,2.39638422316297
2016,170,51,2394692,6.91785926763554,5.90926514451075,8.0598265995633,1.87276565308747,1.38649230045543,2.49092030280877
2017,186,50,2425019,7.35500856898375,6.32600965998264,8.51660531087729,1.83853721313573,1.35715012422206,2.45328721435982
