"year","inc_counts","mort_counts","pop","ASIR","ASIR_LCI","ASIR_UCI","ASMR","ASMR_LCI","ASMR_UCI"
1970,148,59,1056101,18.6014680009273,15.6966094444904,22.0069600221488,7.94945079533024,6.03627106920586,10.3958027474005
1971,155,67,1090251,19.0826691999922,16.1675492398717,22.4622150474344,8.45841213379149,6.54134561660061,10.8574277706692
1972,132,65,1124400,15.0528925880293,12.5627132871955,17.970338601514,8.20278919831904,6.32170785234859,10.5380234559617
1973,136,55,1158547,15.1889988891212,12.7135257164396,18.0666055674286,6.7705146025852,5.09150450365879,8.87935311931912
1974,150,51,1192697,16.0225850669967,13.5316230094229,18.8892229293968,5.76149653813473,4.2825131062939,7.63585947874773
1975,185,61,1226846,18.3855527585356,15.7730319069249,21.3490696185349,6.87445789616838,5.25204409697754,8.87360963336742
1976,200,61,1260996,19.6212098009615,16.9453359462404,22.6320803018286,6.77214017706277,5.17317782057223,8.73221382036136
1977,179,53,1291190,16.6361338948586,14.2339799011276,19.3583242635725,5.43345277906685,4.05605638441795,7.15279341906612
1978,179,71,1321387,15.5816166349186,13.3186073893322,18.1509835655379,7.11584113484841,5.5461289481119,9.01441444127558
1979,180,42,1351578,15.3141852216946,13.1005940312842,17.8283593489609,4.10483626702626,2.94902530545256,5.58907096082572
1980,171,44,1381775,14.3369958767088,12.2046975005254,16.7685436392591,4.13038529700863,2.98692465037416,5.59613112888575
1981,159,45,1411969,13.0748474153591,11.0550025095227,15.3917714746637,4.06880960840481,2.94640906877653,5.50908428811665
1982,131,62,1431345,10.4093289082218,8.65472204141894,12.4518537995037,5.38401131665293,4.10751783198234,6.96380965217399
1983,157,41,1450725,11.8812739997707,10.0439269459144,13.9973770793324,3.27616520694654,2.33505518233498,4.51257155195603
1984,118,38,1470098,9.16170164937288,7.52675675826078,11.0827850163143,3.13570555025138,2.20027561111612,4.37221929315633
1985,139,45,1489478,10.0238309248163,8.37945804473106,11.9408223544057,3.67319923654172,2.65692872998,4.98722666631264
1986,127,36,1508568,9.34450764974796,7.7375652453135,11.228212923219,2.65748605702934,1.84278250185861,3.75987459237623
1987,119,28,1531737,8.28462693805709,6.81344331391301,10.0248779259776,2.24865854591158,1.47366536360689,3.32491467446932
1988,140,41,1565788,9.56104418278724,7.99243098294314,11.3925564151041,2.9351752338657,2.08385454523791,4.06588012215743
1989,142,44,1606997,9.45773918838262,7.91123999937149,11.2605855397446,3.14754598857848,2.26814106526543,4.29890952491998
1990,159,44,1654259,10.1394668899391,8.56658027359133,11.9582793133079,2.83636195221767,2.04272379419469,3.88530250115294
1991,140,38,1692156,8.63971782296103,7.21885772137398,10.2964552943285,2.49322041952785,1.74316204344147,3.49595231037195
1992,157,33,1741163,9.30566460383421,7.86050312936759,10.9744849217206,1.9926743924901,1.35959701146238,2.86168449368093
1993,160,46,1790843,9.6030086829165,8.11481102105325,11.3142636077891,3.14649624084021,2.2842000643488,4.25108173346078
1994,174,46,1843834,9.55092147341291,8.14062247149779,11.1677399729339,2.77769047317881,2.01018295930334,3.77049773442823
1995,186,56,1893063,10.1235734865288,8.67803506778522,11.7699610260646,3.24970384260743,2.43702503386547,4.27512590763737
1996,161,45,1944984,8.56121563762875,7.25419437066133,10.0623964606391,2.62618559453111,1.89846981751555,3.56415522473162
1997,151,51,1983109,7.62755744007831,6.43033703527539,9.01011666631257,2.80123667224102,2.07027212533727,3.73097504177825
1998,194,34,2002595,9.69559057021027,8.35227042073846,11.2198714066091,1.79222936613448,1.23052915313074,2.550158684187
1999,179,42,2018796,9.08824471956138,7.77941540294325,10.5778931404065,2.28978671911758,1.63925578700776,3.135057057294
2000,136,47,2033853,6.68283412787254,5.58386543775376,7.9591277895909,2.41543043575739,1.76305284544165,3.25453924583463
2001,148,43,2053501,7.09603376585941,5.98309043138927,8.37940041477105,2.03030651922943,1.46212403822658,2.77445928529112
2002,173,39,2067075,8.13412213421748,6.95244112609151,9.48016015026113,1.86921665779612,1.32421044913396,2.5872498832037
2003,153,52,2079789,7.28038412903478,6.16243397475334,8.55949146941092,2.52136931495825,1.87779344829466,3.33223541725294
2004,150,44,2096581,7.0161280480346,5.92996343016935,8.25767101948928,2.08456023040524,1.51038424064401,2.82022564285174
2005,159,43,2116912,7.33921654784909,6.2360137047428,8.59312912957134,1.94456367434234,1.40428165229768,2.63893139461076
2006,149,36,2140345,6.73089437232074,5.68843506663575,7.92069147150883,1.63637642213247,1.14247978790117,2.28417488789828
2007,164,47,2163405,7.34034012788061,6.25649354462101,8.56912715845024,2.06765366358298,1.5171163751051,2.76640423284837
2008,170,41,2190629,7.50363153706045,6.41557634913901,8.73393082446379,1.76608865893067,1.26485082495028,2.41332052242305
2009,182,33,2219603,7.97558272194367,6.85760425171169,9.23376075528738,1.36574093021073,0.937812514782835,1.93676020569762
2010,191,48,2246226,8.26929409968495,7.13700138213357,9.53983577497109,2.01976299122974,1.48807576260384,2.69221873223001
2011,188,46,2262383,8.10095065874281,6.98335057624851,9.35618270455266,1.85585477615364,1.35614248302279,2.49382319824948
2012,169,45,2286978,7.10961597080718,6.07564954561037,8.27986415013177,1.80067160258098,1.31059494904643,2.42863743391952
2013,180,48,2308860,7.57231618654288,6.50282508145364,8.77820409110981,1.9369930332575,1.42500196552195,2.58731085016401
2014,190,52,2338097,7.80312266699759,6.72617854509937,9.01492676234932,2.0267254865838,1.50897447887373,2.68046585720849
2015,182,44,2363880,7.435430618044,6.3871491964157,8.6177962956893,1.66715452996634,1.20701453695898,2.26168120749014
2016,170,50,2394692,6.91785926763554,5.90926514451075,8.0598265995633,1.82802187303104,1.3485602890598,2.43932563437216
2017,186,49,2425019,7.35500856898375,6.32600965998264,8.51660531087729,1.82687847002507,1.34175623560017,2.44701989007589
2018,206,55,2456618,7.96170662940389,6.89816404015259,9.15821942207025,1.900901140179,1.42122577869241,2.512890740163
