"year","sex","inc_counts","ASIR","ASIR_LCI","ASIR_UCI"
1970,"Males",3023,449.098759201781,432.869866911677,465.934103237618
1971,"Males",3344,484.920021028097,468.241701017159,502.173644847361
1972,"Males",3180,447.241268031774,431.445866484686,463.583928681306
1973,"Males",3395,462.624230795769,446.775428018508,478.994676856597
1974,"Males",3658,483.010453719819,467.018607015641,499.501264337312
1975,"Males",3815,491.765886542679,475.801899786798,508.209291102162
1976,"Males",3909,484.488893144203,468.929561911265,500.506141506575
1977,"Males",3967,478.861896327348,463.55575737576,494.618215652607
1978,"Males",4485,533.074919597051,516.993831682974,549.604881497471
1979,"Males",4588,530.05018118906,514.196671642463,546.348883566325
1980,"Males",4961,557.820384456139,541.730882510595,574.351582030256
1981,"Males",5058,557.947804491734,541.940494706647,574.396181011611
1982,"Males",5379,574.017828978487,558.093178366747,590.370269478216
1983,"Males",5409,556.250161843389,540.852689411464,572.063543882954
1984,"Males",5751,572.030255082358,556.660692825858,587.810831180749
1985,"Males",6033,587.599544181848,572.17606160961,603.433212378215
1986,"Males",6062,575.885509240118,560.781782043232,591.399092688094
1987,"Males",6565,601.681787057958,586.545768017599,617.217968215542
1988,"Males",6930,613.528636648713,598.521607614987,628.927583276805
1989,"Males",6959,593.753812493045,579.305789635957,608.58367707873
1990,"Males",7390,604.676350384122,590.42842242824,619.284995213559
1991,"Males",7974,635.370593688385,620.993285664599,650.089311919783
1992,"Males",8384,649.173382099918,634.862738823552,663.814435091046
1993,"Males",8906,669.313910014816,654.989709797896,683.958275657974
1994,"Males",8570,620.889048913428,607.396392786285,634.688501788942
1995,"Males",8447,597.616555811814,584.511326095483,611.022386002023
1996,"Males",8740,602.760827051998,589.777945345433,616.034188699139
1997,"Males",9004,601.852190898565,589.102901925515,614.882350456953
1998,"Males",8935,584.291712064088,571.876681710199,596.977271475013
1999,"Males",9856,630.593711910623,617.860063560749,643.588416218086
2000,"Males",9712,606.395236279139,594.072752173326,618.973580479308
2001,"Males",10071,608.749455230744,596.645956849879,621.096312608561
2002,"Males",9907,579.072595307177,567.502043040722,590.874074058687
2003,"Males",9961,569.709821331842,558.364178107678,581.277040853813
2004,"Males",10015,555.177169540945,544.170953400207,566.395922357735
2005,"Males",10375,561.407724791865,550.479195870025,572.545015660168
