"year","sex","inc_counts","ASIR","ASIR_LCI","ASIR_UCI"
1970,"Males",3022,448.996227134985,432.768579446354,465.830350274965
1971,"Males",3344,484.920021028097,468.241701017159,502.173644847361
1972,"Males",3179,447.164614287731,431.36993260805,463.506578538003
1973,"Males",3394,462.5318255911,446.68405862931,478.901255736852
1974,"Males",3656,482.826981678661,466.837304810375,499.315653192516
1975,"Males",3813,491.617800923126,475.655187983198,508.059866571768
1976,"Males",3907,484.345419320202,468.787416300874,500.361372161863
1977,"Males",3964,478.66865398554,463.3641448538,494.423391932056
1978,"Males",4482,532.835544873635,516.756939540637,549.363060111159
1979,"Males",4583,529.594082530182,513.745807257742,545.88760174029
1980,"Males",4959,557.662113060515,541.57429442801,574.191645746115
1981,"Males",5057,557.841044273898,541.835095071082,574.288065904373
1982,"Males",5378,573.96553982186,558.041222296922,590.317658434749
1983,"Males",5407,556.095258833356,540.699282082994,571.907164151728
1984,"Males",5751,571.997700220968,556.628867332701,587.777539372486
1985,"Males",6029,587.291945660173,571.871697826403,603.122402088681
1986,"Males",6057,575.455816781195,560.357002651366,590.964508972857
1987,"Males",6558,601.197289412381,586.065719977976,616.729065116867
1988,"Males",6919,612.582287393236,597.586136423722,627.970378758334
1989,"Males",6954,593.327757800076,578.884600822299,608.152766879073
1990,"Males",7380,604.024550198993,589.782710386427,618.627147699843
1991,"Males",7966,634.85888867713,620.486155092138,649.57306213074
1992,"Males",8362,647.512596213344,633.219243508447,662.136388236671
1993,"Males",8887,667.933069159564,653.622660072299,682.563670139862
1994,"Males",8545,619.166078378055,605.690780532454,632.948209726356
1995,"Males",8429,596.405307756365,583.312237104132,609.799008539347
1996,"Males",8715,601.177736052385,588.210317948659,614.43567444996
1997,"Males",8968,599.564735663313,586.838050466502,612.572334689725
1998,"Males",8902,582.262799248601,569.867394760888,594.928781324014
1999,"Males",9821,628.606922567712,615.890649598934,641.584311725788
2000,"Males",9657,603.023457964741,590.733919242462,615.568895005795
2001,"Males",10007,605.133225503555,593.062800069231,617.447078384009
2002,"Males",9821,574.155308565008,562.63216489631,585.90942907728
2003,"Males",9871,564.785639468673,553.486481238321,576.306439995641
2004,"Males",9892,548.647668927214,537.702570394086,559.805396476872
2005,"Males",10226,553.611843728456,542.75561198871,564.676932071548
2006,"Males",10619,559.091637086498,548.358296894986,570.027225960387
2007,"Males",11502,586.564015723039,575.77095260326,597.549025943595
