"Cancer","AAPC Index","Start","End","AAPC","LCI","UCI","Significant","Test_Stat","P","Cancer_Name","Sex"
0,1,2008,2017,-0.3,-0.6,-0.1,1,-2.7,0,"All Other cancers","Males"
1,1,2008,2017,0.6,-0.6,1.9,0,1,0.3,"Bladder","Males"
2,1,2008,2017,0,-0.2,0.3,0,0.3,0.7,"Brain","Males"
4,1,2008,2017,-1.5,-2.7,-0.2,1,-2.3,0,"Colorectal","Males"
5,1,2008,2017,0.7,0.4,0.9,1,6.4,0,"Esophagus","Males"
6,1,2008,2017,-0.5,-0.8,-0.2,1,-3,0,"Hodgkin Lymphoma","Males"
7,1,2008,2017,3.1,2.2,4.1,1,6.7,0,"Kidney","Males"
8,1,2008,2017,-2.8,-3.1,-2.4,1,-15.6,0,"Larynx","Males"
9,1,2008,2017,-1.5,-3.4,0.4,0,-1.5,0.1,"Leukemia","Males"
10,1,2008,2017,3.3,3,3.6,1,24,0,"Liver","Males"
11,1,2008,2017,-1.9,-2,-1.8,1,-32.8,0,"Lung","Males"
12,1,2008,2017,0.2,-1.3,1.8,0,0.3,0.8,"Melanoma (Skin)","Males"
13,1,2008,2017,0.6,0.3,0.9,1,4.3,0,"Multiple Myeloma","Males"
14,1,2008,2017,0,-0.4,0.4,0,-0.1,0.9,"Non-Hodgkin Lymphoma","Males"
15,1,2008,2017,2.5,1.6,3.5,1,5.5,0,"Oral","Males"
16,1,2008,2017,1.3,0.4,2.1,1,2.9,0,"Pancreas","Males"
17,1,2008,2017,-4.4,-6.2,-2.7,1,-4.8,0,"Prostate","Males"
18,1,2008,2017,-2.3,-2.5,-2.2,1,-29.4,0,"Stomach","Males"
19,1,2008,2017,1.2,1,1.4,1,10.3,0,"Testis","Males"
20,1,2008,2017,4.8,3.4,6.2,1,7,0,"Thyroid","Males"
0,1,2008,2017,0,-0.3,0.3,0,-0.1,0.9,"All Other cancers","Females"
1,1,2008,2017,-0.4,-0.8,0,1,-2,0,"Bladder","Females"
2,1,2008,2017,0.7,-0.6,2,0,1,0.3,"Uterus","Females"
3,1,2008,2017,0.1,-0.1,0.3,0,0.8,0.4,"Brain","Females"
4,1,2008,2017,0,-0.8,0.8,0,0,1,"Breast","Females"
5,1,2008,2017,0,-0.9,0.9,0,0,1,"Cervix","Females"
6,1,2008,2017,-1.3,-2.5,0,0,-1.9,0.1,"Colorectal","Females"
7,1,2008,2017,-0.3,-0.5,0,1,-2.2,0,"Esophagus","Females"
8,1,2008,2017,0.4,-0.1,0.8,0,1.7,0.1,"Hodgkin Lymphoma","Females"
9,1,2008,2017,3.6,1.6,5.7,1,3.5,0,"Kidney","Females"
10,1,2008,2017,-4.2,-6,-2.4,1,-4.6,0,"Larynx","Females"
11,1,2008,2017,-1.6,-4.1,1.1,0,-1.2,0.2,"Leukemia","Females"
12,1,2008,2017,4.5,2.1,6.9,1,3.8,0,"Liver","Females"
13,1,2008,2017,0.2,0,0.4,1,2.1,0,"Lung","Females"
14,1,2008,2017,0.3,-1.7,2.3,0,0.3,0.8,"Melanoma (Skin)","Females"
15,1,2008,2017,0.6,0.2,0.9,1,3.3,0,"Multiple Myeloma","Females"
16,1,2008,2017,0.4,-0.1,0.8,0,1.5,0.1,"Non-Hodgkin Lymphoma","Females"
17,1,2008,2017,-0.2,-0.4,0.1,0,-1.6,0.1,"Oral","Females"
18,1,2008,2017,-1.2,-1.3,-1,1,-12.5,0,"Ovary","Females"
19,1,2008,2017,1.8,0,3.7,0,1.9,0.1,"Pancreas","Females"
20,1,2008,2017,-2.5,-2.7,-2.3,1,-23.9,0,"Stomach","Females"
21,1,2008,2017,2.4,-0.1,4.9,0,1.9,0.1,"Thyroid","Females"
1,1,2008,2017,0.1,-0.5,0.7,0,0.3,0.7,"All cancers","Females"
2,1,2008,2017,-1.2,-1.9,-0.5,1,-3.2,0,"All cancers","Males"
