"Cancer","Sex","AAPC Index","Start","End","AAPC","LCI","UCI","Significant","Test_Stat","P"
"All Other Cancers","Males","Last 10 Obs.",2009,2018,-0.3,-0.5,-0.1,1,-2.9,0
"Bladder","Males","Last 10 Obs.",2009,2018,0,-1.2,1.2,0,0,1
"Brain","Males","Last 10 Obs.",2009,2018,0,-0.2,0.2,0,0.3,0.8
"Colorectal","Males","Last 10 Obs.",2009,2018,-2.7,-4.9,-0.4,1,-2.3,0
"Esophagus","Males","Last 10 Obs.",2009,2018,0.7,0.5,0.9,1,7,0
"Hodgkin Lymphoma","Males","Last 10 Obs.",2009,2018,3,-0.5,6.6,0,1.7,0.1
"Kidney","Males","Last 10 Obs.",2009,2018,3.5,2.6,4.4,1,8.4,0
"Larynx","Males","Last 10 Obs.",2009,2018,-2.8,-3.1,-2.4,1,-16.1,0
"Leukemia","Males","Last 10 Obs.",2009,2018,0.4,0.3,0.6,1,4.6,0
"Liver","Males","Last 10 Obs.",2009,2018,3.2,2.9,3.5,1,23.2,0
"Lung","Males","Last 10 Obs.",2009,2018,-1.9,-2,-1.8,1,-34.9,0
"Melanoma (Skin)","Males","Last 10 Obs.",2009,2018,0.6,-0.8,2,0,0.8,0.4
"Multiple Myeloma","Males","Last 10 Obs.",2009,2018,0.7,0.3,1,1,4.3,0
"Non-Hodgkin Lymphoma","Males","Last 10 Obs.",2009,2018,0.2,-0.1,0.5,0,1.5,0.1
"Oral","Males","Last 10 Obs.",2009,2018,2.7,1.9,3.5,1,6.9,0
"Pancreas","Males","Last 10 Obs.",2009,2018,1.3,0.5,2,1,3.3,0
"Prostate","Males","Last 10 Obs.",2009,2018,-4,-5.6,-2.3,1,-4.6,0
"Stomach","Males","Last 10 Obs.",2009,2018,-2.3,-2.5,-2.2,1,-30.7,0
"Testis","Males","Last 10 Obs.",2009,2018,1.2,1,1.4,1,10.6,0
"Thyroid","Males","Last 10 Obs.",2009,2018,4.6,3.4,5.8,1,7.7,0
"All Other Cancers","Females","Last 10 Obs.",2009,2018,1.3,-0.1,2.7,0,1.9,0.1
"Bladder","Females","Last 10 Obs.",2009,2018,-0.4,-0.8,0,0,-2,0.1
"Body of Uterus","Females","Last 10 Obs.",2009,2018,0.6,-0.6,1.8,0,0.9,0.4
"Brain","Females","Last 10 Obs.",2009,2018,0,-0.2,0.2,0,0.3,0.8
"Breast","Females","Last 10 Obs.",2009,2018,0,-0.6,0.6,0,-0.1,0.9
"Cervix","Females","Last 10 Obs.",2009,2018,0.2,-1.1,1.4,0,0.2,0.8
"Colorectal","Females","Last 10 Obs.",2009,2018,-1.6,-3.7,0.5,0,-1.5,0.1
"Esophagus","Females","Last 10 Obs.",2009,2018,-0.3,-0.5,0,1,-2.2,0
"Hodgkin Lymphoma","Females","Last 10 Obs.",2009,2018,0.4,0,0.8,0,2,0.1
"Kidney","Females","Last 10 Obs.",2009,2018,3.5,1.9,5.2,1,4.5,0
"Larynx","Females","Last 10 Obs.",2009,2018,-4.1,-5.7,-2.4,1,-4.8,0
"Leukemia","Females","Last 10 Obs.",2009,2018,-1.7,-4,0.7,0,-1.4,0.2
"Liver","Females","Last 10 Obs.",2009,2018,2.3,-5.3,10.6,0,0.6,0.6
"Lung","Females","Last 10 Obs.",2009,2018,0.1,-0.1,0.3,0,1.3,0.2
"Melanoma (Skin)","Females","Last 10 Obs.",2009,2018,2.1,1.4,2.7,1,6.6,0
"Multiple Myeloma","Females","Last 10 Obs.",2009,2018,0.5,0.2,0.8,1,3.1,0
"Non-Hodgkin Lymphoma","Females","Last 10 Obs.",2009,2018,0.1,-0.4,0.6,0,0.4,0.7
"Oral","Females","Last 10 Obs.",2009,2018,1.3,0.3,2.3,1,2.6,0
"Ovary","Females","Last 10 Obs.",2009,2018,-3.2,-6.9,0.6,0,-1.6,0.1
"Pancreas","Females","Last 10 Obs.",2009,2018,1.9,0.2,3.6,1,2.2,0
"Stomach","Females","Last 10 Obs.",2009,2018,-1.1,-2.4,0.2,0,-1.7,0.1
"Thyroid","Females","Last 10 Obs.",2009,2018,1.7,-0.3,3.8,0,1.7,0.1
"All cancers","Males","Last 10 Obs.",2009,2018,-0.7,-0.8,-0.6,1,-11.2,0
"All cancers","Females","Last 10 Obs.",2009,2018,0,-0.5,0.5,0,0,1
