"CANCER","HA","SEX","YEAR","ASR","ASR_Model","SE","Flag"
"Lung","Fraser","Males",1986,91.14,108.3,5.79,NA
"Lung","Fraser","Males",1987,105.59,106.24,6.21,NA
"Lung","Fraser","Males",1988,105.79,104.22,5.97,NA
"Lung","Fraser","Males",1989,94.26,102.24,5.52,NA
"Lung","Fraser","Males",1990,111.72,100.29,5.96,NA
"Lung","Fraser","Males",1991,101.55,98.38,5.45,NA
"Lung","Fraser","Males",1992,98.21,96.51,5.32,NA
"Lung","Fraser","Males",1993,92.45,94.67,5.19,NA
"Lung","Fraser","Males",1994,89.95,92.87,4.93,NA
"Lung","Fraser","Males",1995,93.34,91.1,4.96,NA
"Lung","Fraser","Males",1996,95.98,89.37,4.96,NA
"Lung","Fraser","Males",1997,89.38,87.67,4.66,NA
"Lung","Fraser","Males",1998,92.48,86,4.71,NA
"Lung","Fraser","Males",1999,88.44,84.36,4.45,NA
"Lung","Fraser","Males",2000,73.65,82.76,3.96,NA
"Lung","Fraser","Males",2001,77.81,81.18,4.07,NA
"Lung","Fraser","Males",2002,74.96,79.64,3.92,NA
"Lung","Fraser","Males",2003,81.52,78.12,4,NA
"Lung","Fraser","Males",2004,77.56,76.64,3.89,NA
"Lung","Fraser","Males",2005,75.99,75.18,3.73,NA
"Lung","Fraser","Males",2006,76.02,73.75,3.71,NA
"Lung","Fraser","Males",2007,74.89,72.34,3.57,NA
"Lung","Fraser","Males",2008,70.41,70.97,3.42,NA
"Lung","Fraser","Males",2009,65.98,69.62,3.22,NA
"Lung","Fraser","Males",2010,68.3,68.29,3.2,NA
"Lung","Fraser","Males",2011,65.78,66.99,3.1,NA
"Lung","Fraser","Males",2012,64.75,65.72,3.01,NA
"Lung","Fraser","Males",2013,63.35,64.47,2.94,NA
"Lung","Fraser","Males",2014,62.93,63.24,2.88,NA
"Lung","Fraser","Males",2015,65.15,62.04,2.86,NA
"Lung","Fraser","Males",2016,61.35,60.85,2.73,NA
"Lung","Fraser","Males",2017,57.62,59.7,2.59,NA
"Lung","Interior","Males",1986,113,111.56,7.68,NA
"Lung","Interior","Males",1987,107.7,109.92,7.14,NA
"Lung","Interior","Males",1988,103.85,108.3,7.16,NA
"Lung","Interior","Males",1989,99.52,106.7,6.63,NA
"Lung","Interior","Males",1990,113.12,105.13,6.98,NA
"Lung","Interior","Males",1991,98.78,103.57,6.41,NA
"Lung","Interior","Males",1992,105.8,102.05,6.51,NA
"Lung","Interior","Males",1993,108.97,100.54,6.58,NA
"Lung","Interior","Males",1994,94.54,99.06,5.94,NA
"Lung","Interior","Males",1995,97.01,97.6,6.04,NA
