"sex"	"age_group_2"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
0	1	4	0	1970	2017	-0.5	-1.0	-0.0	1	-2.1	0.0
0	1	4	1	2008	2017	-1.6	-2.9	-0.3	1	-2.4	0.0
0	2	1	0	1970	2017	0.2	-0.3	0.8	0	0.9	0.4
0	2	1	1	2008	2017	2.1	1.2	3.0	1	4.7	0.0
1	1	1	0	1970	2017	-0.2	-0.5	0.0	0	-1.7	0.1
1	1	1	1	2008	2017	-1.8	-3.1	-0.4	1	-2.6	0.0
1	2	4	0	1970	2017	0.3	-1.1	1.8	0	0.5	0.7
1	2	4	1	2008	2017	1.7	-1.8	5.4	0	0.9	0.3
0	0	4	0	1970	2017	-0.5	-1.0	0.0	0	-1.9	0.1
0	0	4	1	2008	2017	-1.3	-2.5	0.0	0	-1.9	0.1
1	0	1	0	1970	2017	-0.2	-0.4	0.1	0	-1.3	0.2
1	0	1	1	2008	2017	-1.5	-2.7	-0.2	1	-2.3	0.0
