"sex"	"age_group_2"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
0	1	1970	54.75	54.54	2.76	NA	4	4
0	1	1971	58.12	54.74	2.80	NA	4	4
0	1	1972	49.59	54.94	2.53	NA	4	4
0	1	1973	58.54	55.14	2.70	NA	4	4
0	1	1974	53.33	55.34	2.53	NA	4	4
0	1	1975	55.83	55.55	2.53	NA	4	4
0	1	1976	55.31	55.75	2.48	NA	4	4
0	1	1977	53.09	55.95	2.38	NA	4	4
0	1	1978	61.30	56.16	2.52	NA	4	4
0	1	1979	54.11	56.37	2.32	NA	4	4
0	1	1980	58.36	56.57	2.37	NA	4	4
0	1	1981	56.49	56.78	2.29	NA	4	4
0	1	1982	53.94	56.99	2.21	NA	4	4
0	1	1983	55.32	57.20	2.21	NA	4	4
0	1	1984	59.15	57.41	2.25	NA	4	4
0	1	1985	59.10	57.62	2.21	Joinpoint 1	4	4
0	1	1986	56.77	56.16	2.14	NA	4	4
0	1	1987	52.54	54.73	2.02	NA	4	4
0	1	1988	53.73	53.35	2.02	NA	4	4
0	1	1989	53.03	52.00	1.98	NA	4	4
0	1	1990	51.62	50.68	1.93	NA	4	4
0	1	1991	46.87	49.40	1.81	Joinpoint 2	4	4
0	1	1992	50.22	49.28	1.85	NA	4	4
0	1	1993	51.58	49.17	1.84	NA	4	4
0	1	1994	47.39	49.06	1.73	NA	4	4
0	1	1995	46.78	48.95	1.69	NA	4	4
0	1	1996	48.46	48.85	1.69	NA	4	4
0	1	1997	47.58	48.74	1.66	NA	4	4
0	1	1998	47.74	48.63	1.63	NA	4	4
0	1	1999	48.38	48.52	1.63	NA	4	4
0	1	2000	52.03	48.41	1.67	NA	4	4
0	1	2001	49.39	48.30	1.60	NA	4	4
0	1	2002	49.95	48.19	1.59	NA	4	4
0	1	2003	48.33	48.08	1.53	NA	4	4
0	1	2004	47.73	47.98	1.51	NA	4	4
0	1	2005	49.30	47.87	1.52	NA	4	4
0	1	2006	48.61	47.76	1.48	Joinpoint 3	4	4
0	1	2007	46.68	48.41	1.43	NA	4	4
0	1	2008	47.60	49.06	1.43	NA	4	4
0	1	2009	47.29	49.72	1.40	NA	4	4
0	1	2010	49.30	50.39	1.41	NA	4	4
0	1	2011	48.54	51.07	1.39	NA	4	4
0	1	2012	51.78	51.76	1.41	Joinpoint 4	4	4
0	1	2013	51.26	49.76	1.38	NA	4	4
0	1	2014	51.22	47.83	1.36	NA	4	4
0	1	2015	48.73	45.97	1.32	NA	4	4
0	1	2016	42.97	44.19	1.22	NA	4	4
0	1	2017	40.16	42.48	1.17	NA	4	4
0	2	1970	5.39	4.19	0.80	NA	1	1
0	2	1971	4.61	4.15	0.72	NA	1	1
0	2	1972	3.78	4.11	0.65	NA	1	1
0	2	1973	4.43	4.07	0.71	NA	1	1
0	2	1974	3.67	4.03	0.63	NA	1	1
0	2	1975	3.56	3.99	0.63	NA	1	1
0	2	1976	3.47	3.94	0.62	NA	1	1
0	2	1977	4.18	3.90	0.67	NA	1	1
0	2	1978	3.76	3.87	0.63	NA	1	1
0	2	1979	3.89	3.83	0.65	NA	1	1
0	2	1980	2.81	3.79	0.55	NA	1	1
0	2	1981	3.19	3.75	0.56	NA	1	1
0	2	1982	3.98	3.71	0.63	NA	1	1
0	2	1983	3.82	3.67	0.60	NA	1	1
0	2	1984	3.31	3.64	0.53	NA	1	1
0	2	1985	3.79	3.60	0.58	NA	1	1
0	2	1986	2.86	3.56	0.50	NA	1	1
0	2	1987	3.32	3.53	0.53	NA	1	1
0	2	1988	3.12	3.49	0.48	NA	1	1
0	2	1989	2.73	3.46	0.45	NA	1	1
0	2	1990	4.08	3.42	0.54	NA	1	1
0	2	1991	3.20	3.39	0.46	NA	1	1
0	2	1992	4.52	3.35	0.53	NA	1	1
0	2	1993	2.92	3.32	0.41	NA	1	1
0	2	1994	3.25	3.28	0.41	NA	1	1
0	2	1995	3.44	3.25	0.42	NA	1	1
0	2	1996	3.38	3.22	0.41	NA	1	1
0	2	1997	3.40	3.19	0.40	NA	1	1
0	2	1998	2.49	3.15	0.34	Joinpoint 1	1	1
0	2	1999	2.96	3.22	0.38	NA	1	1
0	2	2000	4.14	3.29	0.44	NA	1	1
0	2	2001	3.40	3.36	0.39	NA	1	1
0	2	2002	3.75	3.43	0.41	NA	1	1
0	2	2003	3.29	3.50	0.38	NA	1	1
0	2	2004	3.69	3.58	0.40	NA	1	1
0	2	2005	2.91	3.65	0.36	NA	1	1
0	2	2006	3.66	3.73	0.40	NA	1	1
0	2	2007	3.54	3.81	0.39	NA	1	1
0	2	2008	3.98	3.89	0.42	NA	1	1
0	2	2009	3.72	3.97	0.40	NA	1	1
0	2	2010	3.76	4.05	0.41	NA	1	1
0	2	2011	3.58	4.14	0.40	NA	1	1
0	2	2012	4.81	4.23	0.46	NA	1	1
0	2	2013	5.05	4.32	0.48	NA	1	1
0	2	2014	4.05	4.41	0.43	NA	1	1
0	2	2015	4.66	4.50	0.46	NA	1	1
0	2	2016	4.91	4.60	0.47	NA	1	1
0	2	2017	4.34	4.69	0.44	NA	1	1
1	1	1970	61.38	69.29	3.16	NA	1	1
1	1	1971	69.82	69.37	3.31	NA	1	1
1	1	1972	63.96	69.46	3.10	NA	1	1
1	1	1973	59.84	69.54	3.01	NA	1	1
1	1	1974	68.12	69.63	3.15	NA	1	1
1	1	1975	68.61	69.71	3.16	NA	1	1
1	1	1976	67.61	69.80	3.08	NA	1	1
1	1	1977	65.60	69.88	2.98	NA	1	1
1	1	1978	68.84	69.97	3.03	NA	1	1
1	1	1979	68.21	70.05	2.98	NA	1	1
1	1	1980	70.79	70.14	3.02	NA	1	1
1	1	1981	74.78	70.22	3.07	NA	1	1
1	1	1982	73.33	70.31	2.97	NA	1	1
1	1	1983	69.01	70.39	2.84	NA	1	1
1	1	1984	75.05	70.48	2.89	NA	1	1
1	1	1985	79.70	70.57	2.97	NA	1	1
1	1	1986	75.48	70.65	2.83	NA	1	1
1	1	1987	79.52	70.74	2.89	NA	1	1
1	1	1988	64.78	70.82	2.51	NA	1	1
1	1	1989	71.87	70.91	2.59	NA	1	1
1	1	1990	65.79	71.00	2.49	NA	1	1
1	1	1991	73.52	71.08	2.56	NA	1	1
1	1	1992	75.41	71.17	2.55	NA	1	1
1	1	1993	73.98	71.26	2.50	NA	1	1
1	1	1994	74.23	71.34	2.44	NA	1	1
1	1	1995	69.81	71.43	2.34	NA	1	1
1	1	1996	67.68	71.52	2.25	NA	1	1
1	1	1997	72.64	71.60	2.32	NA	1	1
1	1	1998	72.58	71.69	2.28	NA	1	1
1	1	1999	75.79	71.78	2.30	NA	1	1
1	1	2000	76.81	71.86	2.28	NA	1	1
1	1	2001	72.57	71.95	2.18	NA	1	1
1	1	2002	69.51	72.04	2.08	NA	1	1
1	1	2003	70.13	72.13	2.07	NA	1	1
1	1	2004	71.37	72.21	2.06	NA	1	1
1	1	2005	71.93	72.30	2.01	NA	1	1
1	1	2006	69.92	72.39	1.96	NA	1	1
1	1	2007	70.77	72.48	1.94	NA	1	1
1	1	2008	70.60	72.57	1.90	NA	1	1
1	1	2009	71.20	72.66	1.88	NA	1	1
1	1	2010	70.44	72.74	1.83	NA	1	1
1	1	2011	67.62	72.83	1.76	NA	1	1
1	1	2012	71.56	72.92	1.78	Joinpoint 1	1	1
1	1	2013	72.60	70.55	1.76	NA	1	1
1	1	2014	75.06	68.26	1.76	NA	1	1
1	1	2015	70.55	66.05	1.67	NA	1	1
1	1	2016	61.67	63.91	1.54	NA	1	1
1	1	2017	57.78	61.83	1.48	NA	1	1
1	2	1970	4.29	4.04	0.70	NA	4	4
