"cancer"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
0	1970	0.27	0.28	0.19	NA	0	0
0	1971	0.64	0.29	0.29	NA	0	0
0	1972	0.49	0.30	0.25	NA	0	0
0	1973	0.63	0.30	0.28	NA	0	0
0	1974	0.35	0.31	0.20	NA	0	0
0	1976	0.10	0.33	0.10	NA	0	0
0	1977	0.37	0.34	0.21	NA	0	0
0	1978	0.09	0.35	0.09	NA	0	0
0	1979	0.35	0.36	0.20	NA	0	0
0	1980	0.48	0.37	0.22	NA	0	0
0	1981	0.30	0.38	0.17	NA	0	0
0	1982	0.26	0.40	0.15	NA	0	0
0	1983	0.21	0.41	0.12	NA	0	0
0	1984	0.50	0.42	0.21	NA	0	0
0	1985	0.34	0.43	0.17	NA	0	0
0	1986	0.43	0.44	0.19	NA	0	0
0	1987	0.18	0.46	0.11	NA	0	0
0	1988	0.72	0.47	0.24	NA	0	0
0	1989	0.51	0.48	0.20	NA	0	0
0	1990	0.20	0.50	0.12	NA	0	0
0	1991	0.43	0.51	0.18	NA	0	0
0	1992	0.73	0.53	0.23	NA	0	0
0	1993	0.44	0.54	0.18	NA	0	0
0	1994	0.53	0.56	0.18	NA	0	0
0	1995	0.40	0.58	0.15	NA	0	0
0	1996	0.40	0.59	0.15	NA	0	0
0	1997	0.71	0.61	0.20	NA	0	0
0	1998	0.57	0.63	0.18	NA	0	0
0	1999	0.27	0.65	0.12	NA	0	0
0	2000	0.53	0.67	0.16	NA	0	0
0	2001	0.62	0.69	0.18	NA	0	0
0	2002	0.82	0.71	0.20	NA	0	0
0	2003	0.74	0.73	0.19	NA	0	0
0	2004	0.86	0.75	0.20	NA	0	0
0	2005	0.73	0.77	0.18	NA	0	0
0	2006	0.78	0.80	0.19	NA	0	0
0	2007	0.70	0.82	0.18	NA	0	0
0	2008	0.83	0.84	0.19	NA	0	0
0	2009	0.96	0.87	0.20	NA	0	0
0	2010	0.68	0.89	0.16	NA	0	0
0	2011	0.64	0.92	0.16	NA	0	0
0	2012	1.09	0.95	0.21	NA	0	0
0	2013	0.82	0.98	0.17	NA	0	0
0	2014	1.17	1.00	0.21	NA	0	0
0	2015	0.92	1.03	0.18	NA	0	0
0	2016	1.11	1.07	0.20	NA	0	0
0	2017	1.46	1.10	0.22	NA	0	0
