"cancer"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
0	1970	0.70	0.58	0.31	NA	3	3
0	1971	0.54	0.69	0.27	NA	3	3
0	1972	0.56	0.82	0.28	NA	3	3
0	1973	0.86	0.98	0.33	NA	3	3
0	1974	1.77	1.16	0.48	NA	3	3
0	1975	1.38	1.38	0.40	Joinpoint 1	3	3
0	1976	1.18	1.24	0.37	NA	3	3
0	1977	0.90	1.11	0.32	NA	3	3
0	1978	0.96	1.00	0.32	NA	3	3
0	1979	0.74	0.89	0.28	NA	3	3
0	1980	0.80	0.80	0.28	NA	3	3
0	1981	0.69	0.72	0.26	NA	3	3
0	1982	0.59	0.64	0.22	NA	3	3
0	1983	0.59	0.58	0.23	NA	3	3
0	1984	0.60	0.52	0.23	NA	3	3
0	1985	0.55	0.46	0.23	NA	3	3
0	1986	0.21	0.42	0.12	NA	3	3
0	1987	0.30	0.37	0.15	NA	3	3
0	1988	0.51	0.33	0.20	NA	3	3
0	1989	0.21	0.30	0.12	Joinpoint 2	3	3
0	1990	0.42	0.31	0.17	NA	3	3
0	1991	0.28	0.32	0.14	NA	3	3
0	1992	0.47	0.33	0.17	NA	3	3
0	1993	0.33	0.35	0.15	NA	3	3
0	1994	0.21	0.36	0.12	NA	3	3
0	1995	0.30	0.37	0.14	NA	3	3
0	1996	0.31	0.39	0.13	NA	3	3
0	1997	0.48	0.40	0.16	NA	3	3
0	1998	0.38	0.41	0.15	NA	3	3
0	1999	0.32	0.43	0.13	NA	3	3
0	2000	0.38	0.45	0.15	NA	3	3
0	2001	0.45	0.46	0.15	NA	3	3
0	2002	0.57	0.48	0.18	NA	3	3
0	2003	0.57	0.50	0.17	Joinpoint 3	3	3
0	2004	0.51	0.47	0.15	NA	3	3
0	2005	0.53	0.45	0.16	NA	3	3
0	2006	0.37	0.42	0.13	NA	3	3
0	2007	0.53	0.40	0.15	NA	3	3
0	2008	0.19	0.38	0.08	NA	3	3
0	2009	0.33	0.36	0.11	NA	3	3
0	2010	0.19	0.34	0.09	NA	3	3
0	2011	0.24	0.33	0.10	NA	3	3
0	2012	0.31	0.31	0.11	NA	3	3
0	2013	0.24	0.29	0.09	NA	3	3
0	2014	0.34	0.28	0.11	NA	3	3
0	2015	0.34	0.27	0.11	NA	3	3
0	2016	0.25	0.25	0.09	NA	3	3
0	2017	0.25	0.24	0.09	NA	3	3
1	1970	2.02	1.82	0.52	NA	1	1
1	1971	1.57	1.85	0.45	NA	1	1
1	1972	2.03	1.87	0.51	NA	1	1
1	1973	1.79	1.90	0.46	NA	1	1
1	1974	2.10	1.92	0.50	NA	1	1
1	1975	2.18	1.95	0.49	NA	1	1
1	1976	1.65	1.98	0.43	NA	1	1
1	1977	2.00	2.00	0.46	NA	1	1
1	1978	1.82	2.03	0.43	NA	1	1
1	1979	2.13	2.06	0.46	NA	1	1
1	1980	1.97	2.08	0.43	NA	1	1
1	1981	2.24	2.11	0.46	NA	1	1
1	1982	2.61	2.14	0.49	NA	1	1
1	1983	2.19	2.17	0.44	NA	1	1
1	1984	1.47	2.20	0.35	NA	1	1
1	1985	2.39	2.23	0.45	NA	1	1
1	1986	1.88	2.26	0.38	NA	1	1
1	1987	2.25	2.29	0.42	NA	1	1
1	1988	1.90	2.32	0.38	NA	1	1
1	1989	2.73	2.35	0.44	NA	1	1
1	1990	2.69	2.38	0.43	Joinpoint 1	1	1
1	1991	2.48	2.34	0.43	NA	1	1
1	1992	2.10	2.30	0.38	NA	1	1
1	1993	1.77	2.26	0.34	NA	1	1
1	1994	2.56	2.22	0.40	NA	1	1
1	1995	1.99	2.18	0.37	NA	1	1
1	1996	2.02	2.14	0.35	NA	1	1
1	1997	2.21	2.10	0.35	NA	1	1
1	1998	2.09	2.07	0.35	NA	1	1
1	1999	1.73	2.03	0.31	NA	1	1
1	2000	2.19	1.99	0.34	NA	1	1
1	2001	2.19	1.96	0.33	NA	1	1
1	2002	1.86	1.92	0.30	NA	1	1
1	2003	2.15	1.89	0.33	NA	1	1
1	2004	1.57	1.86	0.27	NA	1	1
1	2005	2.14	1.82	0.31	NA	1	1
1	2006	1.83	1.79	0.29	NA	1	1
1	2007	1.55	1.76	0.26	NA	1	1
1	2008	1.36	1.73	0.24	NA	1	1
1	2009	1.34	1.70	0.24	NA	1	1
1	2010	1.45	1.67	0.25	NA	1	1
1	2011	2.01	1.64	0.28	NA	1	1
1	2012	2.16	1.61	0.29	NA	1	1
1	2013	1.55	1.58	0.24	NA	1	1
1	2014	1.24	1.56	0.22	NA	1	1
1	2015	1.75	1.53	0.25	NA	1	1
1	2016	1.27	1.50	0.21	NA	1	1
1	2017	1.42	1.48	0.22	NA	1	1
