"cancer"	"year"	"Age-Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
0	1970	1.05	0.91	0.38	NA	1	1
0	1971	0.98	0.96	0.37	NA	1	1
0	1972	1.49	1.02	0.45	NA	1	1
0	1973	0.65	1.08	0.29	NA	1	1
0	1974	0.93	1.15	0.36	NA	1	1
0	1975	0.88	1.22	0.37	NA	1	1
0	1976	1.61	1.29	0.48	NA	1	1
0	1977	1.02	1.37	0.37	NA	1	1
0	1978	1.54	1.45	0.44	NA	1	1
0	1979	0.83	1.54	0.32	NA	1	1
0	1980	1.71	1.63	0.48	NA	1	1
0	1981	0.51	1.73	0.23	NA	1	1
0	1982	1.69	1.83	0.44	NA	1	1
0	1983	1.96	1.94	0.45	NA	1	1
0	1984	2.63	2.06	0.53	NA	1	1
0	1985	2.82	2.18	0.53	NA	1	1
0	1986	2.83	2.31	0.52	NA	1	1
0	1987	2.52	2.45	0.50	NA	1	1
0	1988	2.57	2.60	0.49	NA	1	1
0	1989	1.70	2.76	0.39	NA	1	1
0	1990	2.70	2.92	0.51	NA	1	1
0	1991	3.66	3.10	0.56	NA	1	1
0	1992	2.77	3.29	0.46	NA	1	1
0	1993	3.28	3.49	0.50	NA	1	1
0	1994	3.94	3.70	0.55	NA	1	1
0	1995	3.46	3.92	0.50	NA	1	1
0	1996	4.33	4.16	0.57	NA	1	1
0	1997	5.61	4.41	0.61	Joinpoint 1	1	1
0	1998	3.71	4.49	0.50	NA	1	1
0	1999	4.36	4.58	0.52	NA	1	1
0	2000	5.00	4.67	0.58	NA	1	1
0	2001	4.50	4.76	0.53	NA	1	1
0	2002	4.32	4.85	0.50	NA	1	1
0	2003	5.85	4.94	0.58	NA	1	1
0	2004	5.08	5.04	0.54	NA	1	1
0	2005	4.62	5.14	0.51	NA	1	1
0	2006	5.60	5.23	0.56	NA	1	1
0	2007	4.19	5.34	0.46	NA	1	1
0	2008	5.14	5.44	0.51	NA	1	1
0	2009	5.44	5.54	0.51	NA	1	1
